Species Name,Description
Ogcocephalidae,"Ogcocephalidae is a family of anglerfish specifically adapted for a benthic lifestyle of crawling about on the seafloor. Ogcocephalid anglerfish are sometimes referred to as batfishes, deep-sea batfishes, handfishes, and seabats. They are found in tropical and subtropical oceans worldwide. They are mostly found at depths between 200 and 3,000 m (660 and 9,840 ft), but have been recorded as deep as 4,000 m (13,000 ft). A few species live in much shallower coastal waters and, exceptionally, may enter river estuaries."
Oneirodidae,"Oneirodidae, the dreamers are a family of marine ray-finned fishes belonging to the order Lophiiformes, the anglerfishes. These fishes are deepwater fishes found in the Atlantic, Indian and Pacific Oceans, and it is the most diverse family of fishes in the bathypelagic zone."
Ophichthidae,"Ophichthidae is a family of fish in the order Anguilliformes, commonly known as the snake eels. The term ""Ophichthidae"" comes from Greek ophis (""serpent"") and ichthys (""fish""). Snake eels are also burrowing eels. They are named for their physical appearance, as they have long, cylindrical, snake-like bodies. This family is found worldwide in tropical to warm temperate waters."
Ophidiidae,"The cusk-eel family, Ophidiidae, is a group of marine bony fishes in the Ophidiiformes order. The scientific name is from the Greek ophis meaning ""snake"", and refers to their eel-like appearance. True eels diverged from other ray-finned fish during the Jurassic, while cusk-eels are part of the Percomorpha clade, along with tuna, perch, seahorses, and others. The oldest fossil cusk-eel is Ampheristus, a highly successful genus with numerous species that existed from the Late Cretaceous (Maastrichtian) to the early Oligocene."
Opisthoproctidae,"Barreleyes, also known as spookfish (a name also applied to several species of chimaera), are small deep-sea argentiniform fish comprising the family Opisthoproctidae found in tropical-to-temperate waters of the Atlantic, Pacific, and Indian Oceans. These fish are named because of their barrel-shaped, tubular eyes, which are generally directed upwards to detect the silhouettes of available prey; however, the fish are capable of directing their eyes forward, as well."
Opistognathidae,"Opistognathidae, the jawfishes, are a family of fishes in the order Blenniiformes. The family includes about 80 species. They are native to warmer parts of the Atlantic, Pacific and Indian Oceans, where found from the shallows to depths of a few hundred meters. The species level taxonomy is complex and the family includes several undescribed species. Physically similar to blennies, most jawfish species are small fish (up to 10 cm or 3.9 in) with an elongated body plan."
Oplegnathidae,"Oplegnathus is currently the sole recognized genus in the knifejaw family (Oplegnathidae) of marine centrarchiform ray-finned fishes. The largest, the Cape knifejaw, can reach a maximum length around 90 cm (35 in). Knifejaws have teeth fused into a parrot-like beak in adulthood. They feed on barnacles and mollusks, and are fished commercially. They are native to the Indian and Pacific Oceans."
Orectolobidae,"Wobbegong is the common name given to the 12 species of carpet shark in the family Orectolobidae. They are found in shallow temperate and tropical waters of the western Pacific Ocean and eastern Indian Ocean, chiefly around Australia and Indonesia, although one species (the Japanese wobbegong, Orectolobus japonicus) occurs as far north as Japan. The word wobbegong is thought to come from an Australian Aboriginal language and means shaggy beard, referring to the growths around the mouth of the shark."
Oreosomatidae,"Oreosomatidae, the oreos, are a family of marine fish. Most species are found in the Southern Hemisphere, inhabiting continental slopes down to about 1,000 m (3,300 ft) deep. Most of them are 43 cm at most, with the largest species reaching a length of 60 cm. Though they are small, they often have incredibly elongated lifespans, probable result of living in the deep sea (a trait shared with other unrelated fishes like the orange roughy). The warty oreo is able to live for up to 210 years, which puts it at one of the longest living vertebrates on Earth."
Osmeridae,"Smelts are a family of small fish, the Osmeridae, found in the North Atlantic and North Pacific oceans, as well as rivers, streams and lakes in Europe, North America and Northeast Asia. They are also known as freshwater smelts or typical smelts to distinguish them from the related Argentinidae (herring smelts or argentines), Bathylagidae (deep-sea smelts), and Retropinnidae (Australian and New Zealand smelts). Some smelt species are common in the North American Great Lakes, and in the lakes and seas of the northern part of Europe, where they run in large schools along the saltwater coastline during spring migration to their spawning streams. In some western parts of the United States, smelt populations have greatly declined in recent decades, leading to their protection under the Endangered Species Act. The Delta smelt (Hypomesus transpacificus) found in the Sacramento Delta of California, and the eulachon (Thaleichthys pacificus) found in the Northeast Pacific and adjacent rivers, are both protected from harvest."
Osphronemidae,"Gouramis, or gouramies , are a group of freshwater anabantiform fish that comprise the family Osphronemidae. The fish are native to Asia—from the Indian subcontinent to Southeast Asia and northeasterly towards Korea. The name gourami, from the Sundanese word gurame, is also used for fish of the families Helostomatidae and Anabantidae. Many gouramis have an elongated, feeler-like ray at the front of each of their pelvic fins. All living species show parental care until fry are free swimming: some are mouthbrooders, like the Krabi mouth-brooding betta (Betta simplex), and others, like the Siamese fighting fish (Betta splendens), build bubble nests."
Osteoglossidae,"Osteoglossidae is a family of large-sized freshwater fish, which includes the arowanas. They are commonly known as bonytongues. The family has been regarded as containing two extant subfamilies Arapaiminae and Osteoglossinae, with a total of five living genera, but these are regarded as valid families in Eschmeyer's Catalog of Fishes The extinct Phareodontinae are known from worldwide during the Late Cretaceous and Paleogene; they are generally considered to be crown group osteoglossids that are more closely related to one of the extant osteoglossid subfamilies than the other, though their exact position varies."
Ostraciidae,"Ostraciidae or Ostraciontidae is a family of squared, bony fish belonging to the order Tetraodontiformes, closely related to the pufferfishes and filefishes. Fish in the family are known variously as boxfishes, cofferfishes, cowfishes and trunkfishes. It contains about 23 extant species in 6 extant genera."
